text,tokens,labels,rationales
"The State alleged they hacked Sabata Petros Chale , 39 , to death in Marikana West , on December 8 , 2016 , allegedly over the allocation of low cost ( RDP ) houses at Marikana West Extension 2 .","['The', 'State', 'alleged', 'they', 'hacked', 'Sabata', 'Petros', 'Chale', ',', '39', ',', 'to', 'death', 'in', 'Marikana', 'West', ',', 'on', 'December', '8', ',', '2016', ',', 'allegedly', 'over', 'the', 'allocation', 'of', 'low', 'cost', '(', 'RDP', ')', 'houses', 'at', 'Marikana', 'West', 'Extension', '2', '.']","['O', 'O', 'O', 'O', 'B-trigger', 'B-target', 'I-target', 'I-target', 'O', 'O', 'O', 'O', 'O', 'O', 'B-place', 'I-place', 'O', 'B-etime', 'I-etime', 'I-etime', 'I-etime', 'I-etime', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-place', 'I-place', 'B-fname', 'I-fname', 'O']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Chale was allegedly chased by a group of about 30 people and was hacked to death with pangas , axes and spears .","['Chale', 'was', 'allegedly', 'chased', 'by', 'a', 'group', 'of', 'about', '30', 'people', 'and', 'was', 'hacked', 'to', 'death', 'with', 'pangas', ',', 'axes', 'and', 'spears', '.']","['B-target', 'O', 'O', 'B-trigger', 'O', 'O', 'B-participant', 'O', 'O', 'O', 'B-participant', 'O', 'O', 'B-trigger', 'I-trigger', 'I-trigger', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
His attackers allegedly drank his blood .,"['His', 'attackers', 'allegedly', 'drank', 'his', 'blood', '.']","['O', 'B-participant', 'O', 'B-trigger', 'I-trigger', 'I-trigger', 'O']","[0, 0, 0, 1, 1, 1, 0]"
"Tip asked Mathunjwa why he had not `` explicitly '' told armed , striking mineworkers to leave the hill where they had gathered and return to work .","['Tip', 'asked', 'Mathunjwa', 'why', 'he', 'had', 'not', '``', 'explicitly', ""''"", 'told', 'armed', ',', 'striking', 'mineworkers', 'to', 'leave', 'the', 'hill', 'where', 'they', 'had', 'gathered', 'and', 'return', 'to', 'work', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-trigger', 'B-participant', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-trigger', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
`` It the protest was something which happened outside the labour structures .,"['``', 'It', 'the', 'protest', 'was', 'something', 'which', 'happened', 'outside', 'the', 'labour', 'structures', '.']","['O', 'O', 'O', 'B-trigger', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Police opened fire , killing 34 striking workers and wounding 78 while trying to disperse a group gathered on a hill near Lonmin 's platinum mine in Marikana on August 16 .","['Police', 'opened', 'fire', ',', 'killing', '34', 'striking', 'workers', 'and', 'wounding', '78', 'while', 'trying', 'to', 'disperse', 'a', 'group', 'gathered', 'on', 'a', 'hill', 'near', 'Lonmin', ""'s"", 'platinum', 'mine', 'in', 'Marikana', 'on', 'August', '16', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-trigger', 'B-participant', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-trigger', 'O', 'O', 'O', 'B-fname', 'I-fname', 'I-fname', 'I-fname', 'I-fname', 'O', 'B-place', 'B-etime', 'I-etime', 'I-etime', 'O']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"The three-member Farlam Commission , chaired by retired judge Ian Farlam , was established by President Jacob Zuma to probe into the violence and the deaths of 44 people in wage-related protests .","['The', 'three-member', 'Farlam', 'Commission', ',', 'chaired', 'by', 'retired', 'judge', 'Ian', 'Farlam', ',', 'was', 'established', 'by', 'President', 'Jacob', 'Zuma', 'to', 'probe', 'into', 'the', 'violence', 'and', 'the', 'deaths', 'of', '44', 'people', 'in', 'wage-related', 'protests', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-trigger', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
Lt-Col Andre Traut said the teenager laid the complaint at the Robertson police station following a farmworkers ' protest in the area .,"['Lt-Col', 'Andre', 'Traut', 'said', 'the', 'teenager', 'laid', 'the', 'complaint', 'at', 'the', 'Robertson', 'police', 'station', 'following', 'a', 'farmworkers', ""'"", 'protest', 'in', 'the', 'area', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-place', 'O', 'O', 'O', 'O', 'B-participant', 'O', 'B-trigger', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
Table grape harvesters started protesting about their working conditions in De Doorns last month .,"['Table', 'grape', 'harvesters', 'started', 'protesting', 'about', 'their', 'working', 'conditions', 'in', 'De', 'Doorns', 'last', 'month', '.']","['O', 'O', 'B-participant', 'O', 'B-trigger', 'O', 'O', 'O', 'O', 'O', 'B-place', 'I-place', 'B-etime', 'I-etime', 'O']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
The protests spread to 15 other towns and resulted in two deaths and the destruction of property .,"['The', 'protests', 'spread', 'to', '15', 'other', 'towns', 'and', 'resulted', 'in', 'two', 'deaths', 'and', 'the', 'destruction', 'of', 'property', '.']","['O', 'B-trigger', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-trigger', 'O', 'O', 'O']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
The farmworkers ' strike resumed on Tuesday when their demands were not met .,"['The', 'farmworkers', ""'"", 'strike', 'resumed', 'on', 'Tuesday', 'when', 'their', 'demands', 'were', 'not', 'met', '.']","['O', 'B-participant', 'O', 'B-trigger', 'O', 'B-etime', 'I-etime', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"NHAI Case : Cops Fail to Produce Accused in Court 10th September 2015 03:49 AM KOCHI : Anoop George , the main accused in the case related to attack on the office of the National Highway Authority of India ( NHAI ) at Kalamassery , could not be produced before the Ernakulam District and Principal Sessions Court on Wednesday , after jail authorities in Coimbatore failed to arrange escort for him .","['NHAI', 'Case', ':', 'Cops', 'Fail', 'to', 'Produce', 'Accused', 'in', 'Court', '10th', 'September', '2015', '03:49', 'AM', 'KOCHI', ':', 'Anoop', 'George', ',', 'the', 'main', 'accused', 'in', 'the', 'case', 'related', 'to', 'attack', 'on', 'the', 'office', 'of', 'the', 'National', 'Highway', 'Authority', 'of', 'India', '(', 'NHAI', ')', 'at', 'Kalamassery', ',', 'could', 'not', 'be', 'produced', 'before', 'the', 'Ernakulam', 'District', 'and', 'Principal', 'Sessions', 'Court', 'on', 'Wednesday', ',', 'after', 'jail', 'authorities', 'in', 'Coimbatore', 'failed', 'to', 'arrange', 'escort', 'for', 'him', '.']","['B-fname', 'O', 'O', 'O', 'O', 'O', 'O', 'B-participant', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-participant', 'I-participant', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-trigger', 'B-fname', 'I-fname', 'I-fname', 'I-fname', 'I-fname', 'I-fname', 'I-fname', 'I-fname', 'I-fname', 'I-fname', 'I-fname', 'I-fname', 'I-fname', 'O', 'B-place', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
It was in January this year a group of persons attacked the NHAI office at Kalamassery and distributed notices supporting armed revolt against the government .,"['It', 'was', 'in', 'January', 'this', 'year', 'a', 'group', 'of', 'persons', 'attacked', 'the', 'NHAI', 'office', 'at', 'Kalamassery', 'and', 'distributed', 'notices', 'supporting', 'armed', 'revolt', 'against', 'the', 'government', '.']","['O', 'O', 'B-etime', 'I-etime', 'I-etime', 'I-etime', 'O', 'O', 'O', 'B-participant', 'B-trigger', 'O', 'B-fname', 'I-fname', 'O', 'B-place', 'O', 'B-trigger', 'I-trigger', 'O', 'O', 'O', 'O', 'O', 'B-target', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
Both Anoop and Ramanan are also accused in the case related to attack on the Nitta Gelatin office at Panampilly Nagar last year .,"['Both', 'Anoop', 'and', 'Ramanan', 'are', 'also', 'accused', 'in', 'the', 'case', 'related', 'to', 'attack', 'on', 'the', 'Nitta', 'Gelatin', 'office', 'at', 'Panampilly', 'Nagar', 'last', 'year', '.']","['O', 'B-participant', 'O', 'B-participant', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-trigger', 'B-fname', 'I-fname', 'I-fname', 'I-fname', 'I-fname', 'O', 'B-place', 'I-place', 'B-etime', 'I-etime', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
VS condemns attack on NSS Karayogams 08th May 2011 05:00 AM THIRUVANANTHAPURAM : Chief Minister V S Achuthanandan has condemned the recent attacks on NSS Karayogams .,"['VS', 'condemns', 'attack', 'on', 'NSS', 'Karayogams', '08th', 'May', '2011', '05:00', 'AM', 'THIRUVANANTHAPURAM', ':', 'Chief', 'Minister', 'V', 'S', 'Achuthanandan', 'has', 'condemned', 'the', 'recent', 'attacks', 'on', 'NSS', 'Karayogams', '.']","['O', 'O', 'B-trigger', 'O', 'B-target', 'I-target', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-trigger', 'O', 'B-target', 'I-target', 'O']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
"When asked about the series of attacks on Karayogams , he said that such attacks could not be entertained .","['When', 'asked', 'about', 'the', 'series', 'of', 'attacks', 'on', 'Karayogams', ',', 'he', 'said', 'that', 'such', 'attacks', 'could', 'not', 'be', 'entertained', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-trigger', 'O', 'B-target', 'O', 'O', 'O', 'O', 'O', 'B-trigger', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
"The NSS Karayogams were attacked in Thrissur and Thiruvananthapuram after NSS secretary Sukumaran Nair had said that the NSS did not support the LDF in the recent Assembly elections , as it did not want Achuthanandan to come back to power for another term .","['The', 'NSS', 'Karayogams', 'were', 'attacked', 'in', 'Thrissur', 'and', 'Thiruvananthapuram', 'after', 'NSS', 'secretary', 'Sukumaran', 'Nair', 'had', 'said', 'that', 'the', 'NSS', 'did', 'not', 'support', 'the', 'LDF', 'in', 'the', 'recent', 'Assembly', 'elections', ',', 'as', 'it', 'did', 'not', 'want', 'Achuthanandan', 'to', 'come', 'back', 'to', 'power', 'for', 'another', 'term', '.']","['O', 'B-target', 'I-target', 'O', 'B-trigger', 'O', 'B-place', 'O', 'B-place', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
The attack on Karayogams had sparked sharp reactions from the CPM leaders .,"['The', 'attack', 'on', 'Karayogams', 'had', 'sparked', 'sharp', 'reactions', 'from', 'the', 'CPM', 'leaders', '.']","['O', 'B-trigger', 'O', 'B-target', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
`` I am going to argue your evidence that strikers at Marikana in August 2012 attacked the police should be kicked out .,"['``', 'I', 'am', 'going', 'to', 'argue', 'your', 'evidence', 'that', 'strikers', 'at', 'Marikana', 'in', 'August', '2012', 'attacked', 'the', 'police', 'should', 'be', 'kicked', 'out', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-participant', 'O', 'B-place', 'B-etime', 'I-etime', 'I-etime', 'B-trigger', 'O', 'B-target', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
"Mpofu said Lt-Col Kaizer Modiba was fabricating his evidence about the violence during the mineworkers ' strike at Marikana , near Rustenburg in the North West , because he had not been in a position to witness an attack .","['Mpofu', 'said', 'Lt-Col', 'Kaizer', 'Modiba', 'was', 'fabricating', 'his', 'evidence', 'about', 'the', 'violence', 'during', 'the', 'mineworkers', ""'"", 'strike', 'at', 'Marikana', ',', 'near', 'Rustenburg', 'in', 'the', 'North', 'West', ',', 'because', 'he', 'had', 'not', 'been', 'in', 'a', 'position', 'to', 'witness', 'an', 'attack', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-trigger', 'O', 'O', 'B-participant', 'O', 'B-trigger', 'O', 'B-place', 'O', 'O', 'B-place', 'O', 'O', 'B-place', 'I-place', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"`` I observed the attack on the police , I have no doubt about it , '' Modiba said during cross-examination .","['``', 'I', 'observed', 'the', 'attack', 'on', 'the', 'police', ',', 'I', 'have', 'no', 'doubt', 'about', 'it', ',', ""''"", 'Modiba', 'said', 'during', 'cross-examination', '.']","['O', 'O', 'O', 'O', 'B-trigger', 'O', 'O', 'B-target', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
He said he was about 100 metres away when he witnessed the attack .,"['He', 'said', 'he', 'was', 'about', '100', 'metres', 'away', 'when', 'he', 'witnessed', 'the', 'attack', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-trigger', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
"Modiba said he saw the aggressive strikers running alongside a police Nyala , charging at police .","['Modiba', 'said', 'he', 'saw', 'the', 'aggressive', 'strikers', 'running', 'alongside', 'a', 'police', 'Nyala', ',', 'charging', 'at', 'police', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-participant', 'O', 'O', 'O', 'O', 'O', 'O', 'B-trigger', 'O', 'B-target', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
"The commission , chaired by retired Judge Ian Farlam , is investigating the deaths of 44 people during the wage-related strike at Lonmin 's platinum mining operations at Marikana in August 2012 .","['The', 'commission', ',', 'chaired', 'by', 'retired', 'Judge', 'Ian', 'Farlam', ',', 'is', 'investigating', 'the', 'deaths', 'of', '44', 'people', 'during', 'the', 'wage-related', 'strike', 'at', 'Lonmin', ""'s"", 'platinum', 'mining', 'operations', 'at', 'Marikana', 'in', 'August', '2012', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-trigger', 'B-fname', 'I-fname', 'I-fname', 'I-fname', 'I-fname', 'I-fname', 'O', 'B-place', 'B-etime', 'I-etime', 'I-etime', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
