text,tokens,labels,rationales
"Antes de volver al Sur para esperar el nacimiento de su tercer nieto , la ex presidenta Cristina Fernández de Kirchner encabezó un acto en la Universidad Nacional de Quilmes ( UNQ ) , donde se mostró acompañada por el ex gobernador bonaerense , Daniel Scioli .","['Antes', 'de', 'volver', 'al', 'Sur', 'para', 'esperar', 'el', 'nacimiento', 'de', 'su', 'tercer', 'nieto', ',', 'la', 'ex', 'presidenta', 'Cristina', 'Fernández', 'de', 'Kirchner', 'encabezó', 'un', 'acto', 'en', 'la', 'Universidad', 'Nacional', 'de', 'Quilmes', '(', 'UNQ', ')', ',', 'donde', 'se', 'mostró', 'acompañada', 'por', 'el', 'ex', 'gobernador', 'bonaerense', ',', 'Daniel', 'Scioli', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-organizer', 'I-organizer', 'I-organizer', 'I-organizer', 'I-organizer', 'I-organizer', 'O', 'O', 'B-trigger', 'B-fname', 'I-fname', 'I-fname', 'I-fname', 'I-fname', 'I-fname', 'O', 'B-fname', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-participant', 'I-participant', 'O', 'O', 'B-participant', 'I-participant', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"El acto , en el que la ex Presidenta recibió los títulos Honoris Causa de las Universidades de Quilmes y de Avellaneda , fue el primero , desde la campaña del año pasado , que Cristina comparte con Scioli .","['El', 'acto', ',', 'en', 'el', 'que', 'la', 'ex', 'Presidenta', 'recibió', 'los', 'títulos', 'Honoris', 'Causa', 'de', 'las', 'Universidades', 'de', 'Quilmes', 'y', 'de', 'Avellaneda', ',', 'fue', 'el', 'primero', ',', 'desde', 'la', 'campaña', 'del', 'año', 'pasado', ',', 'que', 'Cristina', 'comparte', 'con', 'Scioli', '.']","['O', 'B-trigger', 'O', 'O', 'O', 'O', 'O', 'B-organizer', 'I-organizer', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Los ruralistas llevarán el documento de 21 puntos que presentaron para justificar su último lockout , del 28 de agosto al 4 de septiembre .","['Los', 'ruralistas', 'llevarán', 'el', 'documento', 'de', '21', 'puntos', 'que', 'presentaron', 'para', 'justificar', 'su', 'último', 'lockout', ',', 'del', '28', 'de', 'agosto', 'al', '4', 'de', 'septiembre', '.']","['O', 'B-participant', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-trigger', 'O', 'O', 'B-etime', 'I-etime', 'I-etime', 'O', 'B-etime', 'I-etime', 'I-etime', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"El presidente Néstor Kirchner repudió esta tarde la violenta represión contra docentes en Neuquén , que provocó la muerte del profesor Carlos Fuentealba , al tiempo que rechazó que la protesta haya sido consecuencia del aumento a maestros otorgado por el Gobierno nacional .","['El', 'presidente', 'Néstor', 'Kirchner', 'repudió', 'esta', 'tarde', 'la', 'violenta', 'represión', 'contra', 'docentes', 'en', 'Neuquén', ',', 'que', 'provocó', 'la', 'muerte', 'del', 'profesor', 'Carlos', 'Fuentealba', ',', 'al', 'tiempo', 'que', 'rechazó', 'que', 'la', 'protesta', 'haya', 'sido', 'consecuencia', 'del', 'aumento', 'a', 'maestros', 'otorgado', 'por', 'el', 'Gobierno', 'nacional', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-participant', 'O', 'B-place', 'O', 'O', 'O', 'O', 'O', 'O', 'B-participant', 'I-participant', 'I-participant', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-trigger', 'O', 'O', 'O', 'O', 'O', 'O', 'B-participant', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"El mandatario provincial admitió haber dado la orden para despejar la ruta en la que protestaban los docentes , medida que desencadenó la violenta represión que provocó la muerte de Fuentealba .","['El', 'mandatario', 'provincial', 'admitió', 'haber', 'dado', 'la', 'orden', 'para', 'despejar', 'la', 'ruta', 'en', 'la', 'que', 'protestaban', 'los', 'docentes', ',', 'medida', 'que', 'desencadenó', 'la', 'violenta', 'represión', 'que', 'provocó', 'la', 'muerte', 'de', 'Fuentealba', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-fname', 'I-fname', 'O', 'O', 'O', 'B-trigger', 'O', 'B-participant', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-participant', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Después del sepelio , un grupo de jóvenes pidió justicia en el Centro de la ciudad .","['Después', 'del', 'sepelio', ',', 'un', 'grupo', 'de', 'jóvenes', 'pidió', 'justicia', 'en', 'el', 'Centro', 'de', 'la', 'ciudad', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-participant', 'B-trigger', 'I-trigger', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
"La hija del policía acusado fue al entierro de la víctima El día después del asesinato de Lucas Rotella ( 19 ) , a manos de un policía de la Bonaerense , decenas de amigos acompañaron el cortejo fúnebre en sus motos por las calles de Baradero y pidieron justicia .","['La', 'hija', 'del', 'policía', 'acusado', 'fue', 'al', 'entierro', 'de', 'la', 'víctima', 'El', 'día', 'después', 'del', 'asesinato', 'de', 'Lucas', 'Rotella', '(', '19', ')', ',', 'a', 'manos', 'de', 'un', 'policía', 'de', 'la', 'Bonaerense', ',', 'decenas', 'de', 'amigos', 'acompañaron', 'el', 'cortejo', 'fúnebre', 'en', 'sus', 'motos', 'por', 'las', 'calles', 'de', 'Baradero', 'y', 'pidieron', 'justicia', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-participant', 'B-trigger', 'O', 'B-trigger', 'I-trigger', 'O', 'O', 'O', 'B-fname', 'I-fname', 'I-fname', 'O', 'B-place', 'O', 'B-trigger', 'I-trigger', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
La noche del sábado hubo algunos incidentes frente a la comisaría local y en la mañana del domingo llegaron a esta ciudad algunos camiones con efectivos de Infantería .,"['La', 'noche', 'del', 'sábado', 'hubo', 'algunos', 'incidentes', 'frente', 'a', 'la', 'comisaría', 'local', 'y', 'en', 'la', 'mañana', 'del', 'domingo', 'llegaron', 'a', 'esta', 'ciudad', 'algunos', 'camiones', 'con', 'efectivos', 'de', 'Infantería', '.']","['B-etime', 'I-etime', 'I-etime', 'I-etime', 'O', 'O', 'B-trigger', 'B-fname', 'I-fname', 'I-fname', 'I-fname', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Sin embargo , el corte de una calle del Centro que hicieron ayer los amigos de Rotella tras el velorio , fue pacífico y la Policía acordonó la zona pero se quedó a dos cuadras del lugar .","['Sin', 'embargo', ',', 'el', 'corte', 'de', 'una', 'calle', 'del', 'Centro', 'que', 'hicieron', 'ayer', 'los', 'amigos', 'de', 'Rotella', 'tras', 'el', 'velorio', ',', 'fue', 'pacífico', 'y', 'la', 'Policía', 'acordonó', 'la', 'zona', 'pero', 'se', 'quedó', 'a', 'dos', 'cuadras', 'del', 'lugar', '.']","['O', 'O', 'O', 'O', 'B-trigger', 'B-fname', 'I-fname', 'I-fname', 'O', 'O', 'O', 'O', 'B-etime', 'O', 'B-participant', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Después se acercó hasta donde estaban cortando la calle .,"['Después', 'se', 'acercó', 'hasta', 'donde', 'estaban', 'cortando', 'la', 'calle', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-trigger', 'B-fname', 'I-fname', 'O']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
