text,tokens,labels,rationales
"Após a primeira manifestação contra a reitora , o vice declarou : `` Estes meninos estão malucos , querem tirar a reitora .","['Após', 'a', 'primeira', 'manifestação', 'contra', 'a', 'reitora', ',', 'o', 'vice', 'declarou', ':', '``', 'Estes', 'meninos', 'estão', 'malucos', ',', 'querem', 'tirar', 'a', 'reitora', '.']","['O', 'O', 'O', 'B-trigger', 'O', 'O', 'B-target', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-participant', 'O', 'O', 'O', 'O', 'O', 'O', 'B-target', 'O']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Nós não perdemos a oportunidade de devolver a provocação e produzimos uma faixa com os seguintes dizeres para afixar no saguão da universidade : `` O presidente já foi , agora só falta a reitora '' .","['Nós', 'não', 'perdemos', 'a', 'oportunidade', 'de', 'devolver', 'a', 'provocação', 'e', 'produzimos', 'uma', 'faixa', 'com', 'os', 'seguintes', 'dizeres', 'para', 'afixar', 'no', 'saguão', 'da', 'universidade', ':', '``', 'O', 'presidente', 'já', 'foi', ',', 'agora', 'só', 'falta', 'a', 'reitora', ""''"", '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-trigger', 'O', 'O', 'O', 'O', 'O', 'O', 'B-fname', 'I-fname', 'I-fname', 'I-fname', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-target', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"13/02/2006 - 21h55 Sem-terra invadem sede do Incra em Mato Grosso do Sul Publicidade ANA RAQUEL COPETTI da Agência Folha , em Campo Grande Cerca de 150 sem-terra ligados à FAF ( Federação dos Trabalhadores na Agricultura Familiar ) invadiram nesta segunda-feira a sede do Incra ( Instituto de Colonização e Reforma Agrária ) em Campo Grande ( MS ) .","['13/02/2006', '-', '21h55', 'Sem-terra', 'invadem', 'sede', 'do', 'Incra', 'em', 'Mato', 'Grosso', 'do', 'Sul', 'Publicidade', 'ANA', 'RAQUEL', 'COPETTI', 'da', 'Agência', 'Folha', ',', 'em', 'Campo', 'Grande', 'Cerca', 'de', '150', 'sem-terra', 'ligados', 'à', 'FAF', '(', 'Federação', 'dos', 'Trabalhadores', 'na', 'Agricultura', 'Familiar', ')', 'invadiram', 'nesta', 'segunda-feira', 'a', 'sede', 'do', 'Incra', '(', 'Instituto', 'de', 'Colonização', 'e', 'Reforma', 'Agrária', ')', 'em', 'Campo', 'Grande', '(', 'MS', ')', '.']","['O', 'O', 'O', 'B-participant', 'B-trigger', 'B-fname', 'O', 'B-target', 'O', 'B-place', 'I-place', 'I-place', 'I-place', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-participant', 'O', 'O', 'B-organizer', 'O', 'B-organizer', 'I-organizer', 'I-organizer', 'I-organizer', 'I-organizer', 'I-organizer', 'O', 'B-trigger', 'B-etime', 'I-etime', 'O', 'B-fname', 'O', 'B-target', 'O', 'B-target', 'I-target', 'I-target', 'I-target', 'I-target', 'I-target', 'O', 'O', 'B-place', 'I-place', 'O', 'B-place', 'O', 'O']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
As famílias armaram barracas e estenderam colchões para dormir em frente ao Incra .,"['As', 'famílias', 'armaram', 'barracas', 'e', 'estenderam', 'colchões', 'para', 'dormir', 'em', 'frente', 'ao', 'Incra', '.']","['O', 'B-participant', 'B-trigger', 'I-trigger', 'O', 'B-trigger', 'I-trigger', 'O', 'O', 'B-fname', 'I-fname', 'I-fname', 'I-fname', 'O']","[0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
"Essas são unidades prejudicadas pela greve de professores e funcionários , que durou quase três meses .","['Essas', 'são', 'unidades', 'prejudicadas', 'pela', 'greve', 'de', 'professores', 'e', 'funcionários', ',', 'que', 'durou', 'quase', 'três', 'meses', '.']","['O', 'O', 'O', 'O', 'O', 'B-trigger', 'O', 'B-participant', 'O', 'B-participant', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"O cronograma da Fatec São Paulo , que também sofreu paralisação , será divulgado após o dia 10 ( quinta-feira ) -- os alunos dessa faculdade estão em greve há três meses .","['O', 'cronograma', 'da', 'Fatec', 'São', 'Paulo', ',', 'que', 'também', 'sofreu', 'paralisação', ',', 'será', 'divulgado', 'após', 'o', 'dia', '10', '(', 'quinta-feira', ')', '--', 'os', 'alunos', 'dessa', 'faculdade', 'estão', 'em', 'greve', 'há', 'três', 'meses', '.']","['O', 'O', 'O', 'B-fname', 'I-fname', 'I-fname', 'O', 'O', 'O', 'O', 'B-trigger', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-participant', 'O', 'B-fname', 'O', 'O', 'B-trigger', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
"25/07/2003 - 19h29 Luciana Genro protesta contra reforma da Previdência no PI da Agência Folha A deputada Luciana Genro ( PT-RS ) , que passa por um processo de expulsão do PT por divergir das orientações do partido , participou hoje de uma manifestação contra a reforma da Previdência em frente à sede do governo do Piauí , em Teresina .","['25/07/2003', '-', '19h29', 'Luciana', 'Genro', 'protesta', 'contra', 'reforma', 'da', 'Previdência', 'no', 'PI', 'da', 'Agência', 'Folha', 'A', 'deputada', 'Luciana', 'Genro', '(', 'PT-RS', ')', ',', 'que', 'passa', 'por', 'um', 'processo', 'de', 'expulsão', 'do', 'PT', 'por', 'divergir', 'das', 'orientações', 'do', 'partido', ',', 'participou', 'hoje', 'de', 'uma', 'manifestação', 'contra', 'a', 'reforma', 'da', 'Previdência', 'em', 'frente', 'à', 'sede', 'do', 'governo', 'do', 'Piauí', ',', 'em', 'Teresina', '.']","['O', 'O', 'O', 'B-participant', 'I-participant', 'B-trigger', 'O', 'O', 'O', 'O', 'O', 'B-place', 'O', 'O', 'O', 'O', 'B-participant', 'I-participant', 'I-participant', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-etime', 'O', 'O', 'B-trigger', 'O', 'O', 'O', 'O', 'O', 'B-fname', 'I-fname', 'I-fname', 'I-fname', 'I-fname', 'I-fname', 'I-fname', 'I-fname', 'O', 'O', 'B-place', 'O']","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"O deputado federal Afonso Gil ( PC do B-PI ) , que esteve presente no ato público , também afirmou que votará contra a proposta de reforma da Previdência no Congresso .","['O', 'deputado', 'federal', 'Afonso', 'Gil', '(', 'PC', 'do', 'B-PI', ')', ',', 'que', 'esteve', 'presente', 'no', 'ato', 'público', ',', 'também', 'afirmou', 'que', 'votará', 'contra', 'a', 'proposta', 'de', 'reforma', 'da', 'Previdência', 'no', 'Congresso', '.']","['O', 'B-participant', 'O', 'B-participant', 'I-participant', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-trigger', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Os servidores do Piauí estão em greve há 17 dias .,"['Os', 'servidores', 'do', 'Piauí', 'estão', 'em', 'greve', 'há', '17', 'dias', '.']","['O', 'B-participant', 'O', 'B-place', 'O', 'O', 'B-trigger', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
"Sindicalista é assassinado a tiros em Sertãozinho O sindicalista foi encontrado morto dentro de sua sala no Sindicato das Montagens , Manutenção e Serviços Terceirizados de Sertãozinho ( 333 km de São Paulo ) , por volta das 12h de quarta-feira .","['Sindicalista', 'é', 'assassinado', 'a', 'tiros', 'em', 'Sertãozinho', 'O', 'sindicalista', 'foi', 'encontrado', 'morto', 'dentro', 'de', 'sua', 'sala', 'no', 'Sindicato', 'das', 'Montagens', ',', 'Manutenção', 'e', 'Serviços', 'Terceirizados', 'de', 'Sertãozinho', '(', '333', 'km', 'de', 'São', 'Paulo', ')', ',', 'por', 'volta', 'das', '12h', 'de', 'quarta-feira', '.']","['B-target', 'O', 'B-trigger', 'O', 'O', 'O', 'B-place', 'O', 'B-target', 'O', 'O', 'O', 'B-fname', 'I-fname', 'I-fname', 'I-fname', 'I-fname', 'I-fname', 'I-fname', 'I-fname', 'I-fname', 'I-fname', 'I-fname', 'I-fname', 'I-fname', 'I-fname', 'I-fname', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-etime', 'I-etime', 'I-etime', 'I-etime', 'I-etime', 'I-etime', 'O']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
